area,frontage,access_road,house_direction,balcony_direction,floors,bedrooms,bathrooms,legal_status,furniture_state,price,new_address,condo_complex
100.0,5.0,,,,,,,,,2.15,"Phổ Yên, Thái Nguyên",1
70.0,6.6,,,,,,,,,9.6,"Cầu Giấy, Hà Nội",0
55.0,5.0,3.0,,,5.0,4.0,5.0,Have certificate,Full,6.8,"Thanh Xuân, Hà Nội",0
37.0,4.0,,,,6.0,3.0,3.0,Have certificate,Full,5.6,"Long Biên, Hà Nội",0
45.0,3.5,2.0,Đông - Nam,Đông - Bắc,4.0,4.0,3.0,Have certificate,Basic,4.95,"Long Biên, Hà Nội",0
30.0,6.0,2.0,Đông,Đông,6.0,3.0,4.0,Have certificate,Basic,4.6,"Long Biên, Hà Nội",0
67.5,,,,,4.0,4.0,4.0,Have certificate,,4.5,"Kiến An, Hải Phòng",1
180.0,9.0,15.0,,,3.0,,,Have certificate,,10.0,"Từ Sơn, Bắc Ninh",1
45.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.7,"Quận Long Biên, Hà Nội",0
180.0,9.0,,Bắc,Đông - Bắc,3.0,5.0,6.0,Have certificate,,9.7,"Từ Sơn, Bắc Ninh",1
46.5,5.0,,,,3.0,3.0,,,,2.8,"Đông Anh, Hà Nội",0
68.0,4.0,5.0,,,1.0,3.0,3.0,Have certificate,,2.8,"Quận 12, Hồ Chí Minh",0
120.0,,,,,,,,Have certificate,,7.0,"Thành phố Đông Hà, Quảng Trị",1
40.0,,,Đông,Đông,2.0,2.0,2.0,Have certificate,,1.38,"Nhà Bè, Hồ Chí Minh",0
120.0,,,,,5.0,,,Have certificate,,8.0,"Văn Giang, Hưng Yên",1
98.0,7.0,27.0,Nam,Đông - Nam,,,,Sale contract,Basic,6.9,"Việt Trì, Phú Thọ",1
80.0,,12.0,Tây,Tây,3.0,4.0,4.0,Have certificate,Full,1.5,"Bến Lức, Long An",1
32.0,,,,,5.0,3.0,4.0,Have certificate,Full,5.7,"Hai Bà Trưng, Hà Nội",0
75.0,8.0,3.0,Đông - Nam,,1.0,3.0,1.0,Have certificate,Full,2.35,"Hóc Môn, Hồ Chí Minh",0
90.0,6.0,30.0,Tây - Nam,Tây - Nam,3.0,3.0,4.0,Have certificate,,5.8,"Quận 9, Hồ Chí Minh",1
86.0,4.0,3.0,,,2.0,8.0,2.0,,,7.6,"Quận 8, Hồ Chí Minh",0
70.0,,,,,,4.0,4.0,Have certificate,,2.7,"Bến Lức, Long An",1
120.0,5.0,,,,5.0,,,Have certificate,,10.0,"Văn Giang, Hưng Yên",1
41.8,,,,,3.0,3.0,,,,2.85,"Thanh Khê, Đà Nẵng",0
48.6,,,,,,2.0,2.0,,,2.95,"Thanh Khê, Đà Nẵng",0
56.0,,7.0,Đông,,3.0,3.0,3.0,,,4.65,"Hải Châu, Đà Nẵng",0
32.0,,15.0,,,3.0,3.0,4.0,,,3.6,"Thanh Khê, Đà Nẵng",0
272.0,,,,,,4.0,5.0,,,4.5,"Trảng Bom, Đồng Nai",0
42.0,5.6,3.0,Đông,Đông,5.0,3.0,4.0,Have certificate,Basic,8.5,"Đống Đa, Hà Nội",0
114.0,6.0,36.0,Nam,Nam,5.0,,,Have certificate,,8.5,"Cẩm Phả, Quảng Ninh",1
53.0,,5.0,Tây - Bắc,,2.0,4.0,3.0,Have certificate,,4.35,"Gò Vấp, Hồ Chí Minh",0
33.0,3.3,3.5,,,4.0,4.0,4.0,Have certificate,,5.4,"Nam Từ Liêm, Hà Nội",0
